Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Volkswagen Vento 1.6 Highline,Mumbai,2011,45118,Diesel,Manual,First,14.02 kmpl,2982 CC,83.1 bhp,5.0,,33.2
Audi Q7 3.0 TDI Quattro Premium Plus,Chennai,2017,38971,Petrol,Automatic,First,21.72 kmpl,1498 CC,112.2 bhp,5.0,8.61 Lakh,6.29
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2007,64377,Petrol,Manual,First,17.05 kmpl,1172 CC,81.86 bhp,5.0,,1.65
Toyota Corolla Altis G,Delhi,2009,54258,Diesel,Manual,First,20.77 kmpl,1591 CC,47.3 bhp,5.0,,6.37
Toyota Fortuner 3.0 Diesel,Chennai,2013,64587,Diesel,Manual,First,12.05 kmpl,1461 CC,108.45 bhp,5.0,52.77 Lakh,13.14
Hyundai Xcent 1.1 CRDi Base,Hyderabad,2013,51894,Petrol,Automatic,First,19.2 kmpl,1950 CC,171 bhp,5.0,53.41 Lakh,2.74
Maruti Swift VXI BSIV,Chennai,2012,21699,CNG,Manual,First,12.4 kmpl,1998 CC,53.3 bhp,5.0,,2.22
Hyundai EON Era Plus,Mumbai,2015,16947,Petrol,Manual,First,18.1 kmpl,1061 CC,80 bhp,5.0,,5.63
BMW 7 Series 740Li,Mumbai,2013,65125,Petrol,Manual,First,15.29 kmpl,1798 CC,117.3 bhp,5.0,,2.38
Chevrolet Spark 1.0 LT,Ahmedabad,2013,19708,Petrol,Manual,First,22.1 km/kg,1196 CC,73 bhp,5.0,,5.83
Hyundai Creta 1.6 SX Plus Petrol Automatic,Hyderabad,2015,46955,Diesel,Automatic,First,23.0 kmpl,2143 CC,58.16 bhp,5.0,,15.43
Maruti Swift VDI,Kolkata,2013,24305,Petrol,Manual,First,26.6 km/kg,1197 CC,83.14 bhp,5.0,,1.43
Audi A4 2.0 TDI Multitronic,Mumbai,2010,30913,Petrol,Automatic,First,26.6 km/kg,1197 CC,245 bhp,5.0,,2.48
Volvo XC60 D5,Mumbai,2012,27747,Petrol,Manual,First,11.0 kmpl,1497 CC,126.2 bhp,5.0,,2.23
Maruti Swift 1.3 LXI,Mumbai,2011,31464,Diesel,Automatic,First,13.7 kmpl,2143 CC,147.51 bhp,5.0,,16.48
Ford EcoSport 1.5 TDCi Titanium,Delhi,2013,52833,Petrol,Manual,First,12.9 kmpl,1998 CC,174.33 bhp,5.0,,3.98
BMW X1 sDrive20d,Delhi,2013,32768,Diesel,Manual,First,21.1 kmpl,1197 CC,70 bhp,5.0,,6.51
Ford Endeavour 3.2 Titanium AT 4X4,Kolkata,2013,50452,Petrol,Manual,First,19.0 kmpl,1199 CC,58.16 bhp,8.0,,1.11
Volkswagen Vento 1.5 TDI Highline AT,Chennai,2012,55837,Diesel,Automatic,First,18.2 kmpl,72 CC,58.16 bhp,5.0,,4.86
Mercedes-Benz S Class 2005 2013 S 350 CDI,Mumbai,2013,33642,Petrol,Automatic,First,18.6 kmpl,2143 CC,153.86 bhp,5.0,,11.94
Honda Jazz Select Edition,Mumbai,2010,69564,Petrol,Manual,First,12.0 kmpl,1498 CC,70 bhp,5.0,,1.23
Mahindra Xylo D4 BS III,Kolkata,2014,48926,Diesel,Manual,First,12.55 kmpl,998 CC,140 bhp,5.0,,1.89
Maruti Vitara Brezza ZDi,Bangalore,2013,43060,Diesel,Automatic,First,11.5 kmpl,2143 CC,37.48 bhp,7.0,,18.46
Maruti Baleno Alpha 1.2,Kolkata,2011,59468,Diesel,Manual,First,17.0 kmpl,1798 CC,112 bhp,5.0,,5.86
Ford EcoSport 1.5 TDCi Titanium,Mumbai,2013,52481,Petrol,Manual,First,21.9 kmpl,1197 CC,82 bhp,5.0,,1.9
Tata Indica V2 DLS BSII,Mumbai,2011,50107,Petrol,Manual,First,12.0 kmpl,1197 CC,67.1 bhp,5.0,,3.06
Toyota Fortuner 4x4 AT,Mumbai,2004,23468,Petrol,Manual,First,17.19 kmpl,1086 CC,103.52 bhp,5.0,,3.67
Renault Duster Petrol RxL,Jaipur,2010,68854,Diesel,Manual,Third,9.74 kmpl,2987 CC,177.01 bhp,5.0,,2.96
Hyundai Xcent 1.1 CRDi S,Jaipur,2010,37288,Diesel,Automatic,Second,19.0 kmpl,1248 CC,58.16 bhp,5.0,,22.51
Maruti Swift VDI,Jaipur,2013,35231,Diesel,Manual,First,21.4 kmpl,1498 CC,81.86 bhp,5.0,99.92 Lakh,6.61
Chevrolet Cruze LTZ AT,Chennai,2007,22050,CNG,Manual,First,16.95 kmpl,1198 CC,102 bhp,5.0,,1.66
Audi A4 3.0 TDI Quattro,Delhi,2013,56715,Diesel,Manual,First,11.57 kmpl,936 CC,147.9 bhp,7.0,,7.06
Maruti Swift Dzire LDI,Hyderabad,2013,61005,Diesel,Manual,First,16.0 kmpl,2148 CC,58.16 bhp,5.0,,3.7
Hyundai i10 Era,Hyderabad,2014,41851,Diesel,Automatic,First,15.1 km/kg,1242 CC,154 bhp,4.0,,18.77
Honda City 1.5 S MT,Ahmedabad,2009,105544,CNG,Manual,Second,18.9 kmpl,1364 CC,126.32 bhp,5.0,,6.02
Hyundai Verna CRDi SX,Chennai,2009,113227,CNG,Manual,First,,1399 CC,78 bhp,5.0,,1.44
Toyota Corolla Altis Diesel D4DG,Mumbai,2015,47579,Petrol,Manual,First,17.0 kmpl,998 CC,67.1 bhp,7.0,,3.35
Hyundai Xcent 1.2 CRDi E Plus,Bangalore,2014,40383,Petrol,Manual,First,13.68 kmpl,1798 CC,58.16 bhp,5.0,,6.65
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Bangalore,2016,59184,CNG,Manual,Second,20.89 kmpl,1198 CC,102 bhp,5.0,,1.87
Audi A4 New 2.0 TDI Multitronic,Mumbai,2008,60976,Petrol,Manual,First,20.36 kmpl,1198 CC,108.5 bhp,5.0,,1.41
Skoda Superb Style 1.8 TSI AT,Hyderabad,2013,51067,Diesel,Manual,First,17.85 kmpl,1498 CC,108.62 bhp,5.0,,7.12
Maruti Alto 800 LXI,Kochi,2009,57008,Diesel,Manual,First,15.26 kmpl,1794 CC,121.3 bhp,5.0,,4.92
Ford Figo Diesel EXI,Kolkata,2011,67750,Diesel,Manual,First,18.4 kmpl,1461 CC,83.8 bhp,5.0,,5.12
Hyundai i10 Sportz 1.2 AT,Mumbai,2010,63789,Diesel,Manual,First,15.1 kmpl,1248 CC,80 bhp,5.0,,3.37
Renault KWID 1.0 RXT Optional,Ahmedabad,2015,53897,Diesel,Manual,First,14.33 kmpl,1798 CC,93.7 bhp,5.0,19.27 Lakh,5.3
BMW 3 Series 320d,Jaipur,2011,61543,Petrol,Manual,First,18.5 kmpl,998 CC,168.5 bhp,5.0,,1.4
Honda CR-V RVi MT,Delhi,2015,59502,Diesel,Manual,First,22.32 kmpl,2477 CC,102 bhp,5.0,,4.07
Chevrolet Aveo U-VA 1.2 LT,Hyderabad,2013,25838,Petrol,Manual,First,15.3 kmpl,1582 CC,78.9 bhp,5.0,,6.23
Renault KWID 1.0 RXT Optional,Bangalore,2010,53734,Diesel,Manual,First,26.1 kmpl,1995 CC,175.56 bhp,5.0,,20.09
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Kolkata,2007,43495,Petrol,Manual,First,19.87 kmpl,1197 CC,100 bhp,5.0,,3.77
Volkswagen Ameo 1.2 MPI Highline,Chennai,2010,50487,Diesel,Manual,First,12.8 kmpl,1248 CC,120 bhp,5.0,,8.42
Chevrolet Sail LT ABS,Hyderabad,2009,52890,CNG,Manual,Second,21.1 kmpl,2499 CC,130 bhp,5.0,,2.43
Maruti Wagon R CNG LXI,Hyderabad,2015,71221,Diesel,Manual,First,19.0 kmpl,2993 CC,78.9 bhp,7.0,,7.82
Honda Brio S MT,Bangalore,2010,44585,Diesel,Automatic,First,18.3 kmpl,2987 CC,73 bhp,7.0,,1.5
Maruti Wagon R VXI AMT,Hyderabad,2011,62915,Diesel,Manual,First,22.9 kmpl,998 CC,78.9 bhp,5.0,,5.12
Volkswagen Vento Diesel Highline,Kolkata,2008,50771,Diesel,Manual,First,20.77 kmpl,2967 CC,88.2 bhp,5.0,,43.18
Tata Manza ELAN Quadrajet BS IV,Kolkata,2009,24129,CNG,Manual,First,18.5 kmpl,998 CC,170 bhp,5.0,,2.82
BMW 3 Series 320d Luxury Line,Kolkata,2013,67544,Petrol,Manual,First,26.6 km/kg,1248 CC,47.3 bhp,5.0,,3.52
Maruti Dzire VDI,Kolkata,2012,55582,Petrol,Manual,First,15.1 kmpl,998 CC,null bhp,5.0,,2.68
Mercedes-Benz M-Class ML 250 CDI,Chennai,2011,32578,Diesel,Automatic,First,10.5 kmpl,2143 CC,147.8 bhp,5.0,,50.12
Hyundai Creta 1.6 SX Plus Petrol Automatic,Hyderabad,2017,51643,Diesel,Automatic,First,13.5 kmpl,2148 CC,58.16 bhp,7.0,,5.9
Audi A3 35 TDI Premium,Mumbai,2017,43835,Petrol,Manual,First,12.81 kmpl,1978 CC,281.61 bhp,5.0,1.28 Cr,22.0
Maruti Wagon R LX DUO BSIII,Mumbai,2014,48859,Diesel,Manual,First,21.03 kmpl,2993 CC,69 bhp,4.0,8.61 Lakh,4.55
Renault Koleos 2.0 Diesel,Mumbai,2012,25529,Petrol,Manual,First,12.8 kmpl,1197 CC,63 bhp,5.0,,2.1
Audi A6 2.7 TDI,Hyderabad,2012,60975,Diesel,Manual,First,20.73 kmpl,2494 CC,100 bhp,5.0,48.64 Lakh,4.9
Chevrolet Cruze LTZ AT,Hyderabad,2012,69468,CNG,Manual,First,18.69 kmpl,1150 CC,55.2 bhp,5.0,,5.36
Hyundai Santro Xing GL Plus LPG,Kolkata,2013,94630,Petrol,Automatic,First,18.3 kmpl,1396 CC,92.7 bhp,5.0,,2.66
Mahindra XUV500 W8 4WD,Hyderabad,2015,51524,Petrol,Manual,First,16.0 kmpl,1364 CC,75 bhp,5.0,,3.22
Mercedes-Benz New C-Class 220 CDI AT,Ahmedabad,2012,65703,Diesel,Manual,First,21.1 kmpl,1373 CC,81.80 bhp,7.0,,1.88
Ford Ecosport 1.5 DV5 MT Titanium,Kolkata,2013,54876,Diesel,Manual,First,15.8 kmpl,796 CC,90 bhp,5.0,,1.69
Ford Endeavour XLT TDCi 4X2,Delhi,2013,59613,Diesel,Automatic,First,12.8 kmpl,1248 CC,74 bhp,7.0,,5.47
Honda Jazz V,Coimbatore,2012,54533,Petrol,Manual,First,24.04 kmpl,1995 CC,157.8 bhp,5.0,,4.65
Volkswagen Polo 1.5 TDI Highline,Kochi,2014,26944,Petrol,Manual,First,9.3 kmpl,1984 CC,121.4 bhp,5.0,24.02 Lakh,6.87
Maruti SX4 Green Vxi (CNG),Mumbai,2012,58015,Petrol,Manual,First,24.07 kmpl,796 CC,85.8 bhp,5.0,,3.4
Honda Brio S MT,Pune,2013,48982,Diesel,Manual,First,21.1 kmpl,1498 CC,67.1 bhp,5.0,,1.67
Mercedes-Benz New C-Class C 250 CDI Elegance,Hyderabad,2015,40707,Diesel,Automatic,First,21.5 kmpl,1995 CC,83.1 bhp,5.0,,1.78
Honda City ZX VTEC,Kochi,2011,31255,Diesel,Manual,First,9.3 kmpl,1599 CC,74.9 bhp,8.0,48.18 Lakh,2.88
Maruti Alto K10 VXI,Kolkata,2012,48981,Diesel,Manual,First,14.07 kmpl,1969 CC,167.6 bhp,5.0,55.61 Lakh,3.1
Maruti Wagon R LXI CNG,Mumbai,2013,48112,Petrol,Manual,First,17.3 kmpl,1198 CC,241.4 bhp,5.0,,2.64
Chevrolet Beat Diesel,Delhi,2016,34092,Diesel,Manual,First,14.21 kmpl,814 CC,241.38 bhp,5.0,8.61 Lakh,5.68
Hyundai Accent GLE,Mumbai,2009,58135,Diesel,Manual,First,26.6 km/kg,1061 CC,67.1 bhp,5.0,,3.28
Honda CR-V 2.0L 2WD MT,Mumbai,2009,37267,Petrol,Manual,First,18.6 kmpl,1399 CC,67.1 bhp,5.0,,5.53
Maruti Wagon R AMT VXI,Hyderabad,2013,20459,CNG,Manual,First,20.7 kmpl,2993 CC,73.9 bhp,8.0,,3.23
Honda Brio VX AT,Coimbatore,2013,45630,Petrol,Manual,First,19.15 kmpl,1999 CC,121.3 bhp,5.0,4.71 Lakh,3.89
Maruti Alto 800 2016-2019 LXI,Mumbai,2011,53852,Diesel,Automatic,First,18.2 kmpl,1995 CC,120 bhp,7.0,,5.29
Maruti Wagon R VXI BS IV,Mumbai,2009,55679,Petrol,Automatic,First,10.5 kmpl,998 CC,67.1 bhp,5.0,,1.43
Maruti Swift Dzire LDI,Mumbai,2008,55638,Diesel,Manual,First,15.0 kmpl,998 CC,86.8 bhp,5.0,,4.5
Audi Q5 2008-2012 2.0 TDI,Jaipur,2013,56095,Diesel,Manual,First,10.9 kmpl,2498 CC,73 bhp,7.0,22.43 Lakh,6.7
Toyota Prius 2009-2016 Z4,Chennai,2009,49102,Diesel,Manual,Second,17.0 kmpl,1582 CC,158 bhp,5.0,,2.85
Toyota Etios G,Chennai,2011,138972,Diesel,Manual,Second,18.2 kmpl,998 CC,81.86 bhp,8.0,,2.63
BMW 3 Series Luxury Line,Jaipur,2016,52323,Diesel,Manual,Second,23.1 kmpl,998 CC,88.8 bhp,5.0,,1.42
BMW 5 Series 2013-2017 520d Luxury Line,Chennai,2014,32516,CNG,Manual,First,21.5 kmpl,1498 CC,70 bhp,5.0,,5.16
Mercedes-Benz E-Class 280 CDI,Kolkata,2009,63548,Diesel,Manual,First,19.64 kmpl,1186 CC,67.1 bhp,5.0,,1.84
Maruti Dzire VDI,Mumbai,2008,54421,Petrol,Manual,First,15.1 km/kg,998 CC,70 bhp,8.0,,1.25
Renault KWID RXT,Mumbai,2011,41439,Petrol,Manual,First,13.5 kmpl,2494 CC,100.6 bhp,5.0,,2.87
Honda City i VTEC VX Option,Kolkata,2013,43335,Petrol,Automatic,First,26.6 km/kg,1591 CC,83.14 bhp,5.0,,2.56
Toyota Fortuner 3.0 Diesel,Chennai,2010,76150,Diesel,Manual,Second,15.3 kmpl,1248 CC,140 bhp,5.0,,4.56
Chevrolet Aveo U-VA 1.2 LT,Mumbai,2010,56928,Petrol,Automatic,First,20.14 kmpl,1598 CC,67 bhp,5.0,,3.32
BMW X1 sDrive20d,Kolkata,2014,82725,Petrol,Manual,First,26.83 km/kg,1496 CC,83.8 bhp,5.0,,1.56
Maruti Wagon R LXI BS IV,Kolkata,2014,6479,Petrol,Manual,First,16.36 kmpl,1197 CC,141 bhp,5.0,,1.58
Maruti Ertiga SHVS VDI,Kolkata,2014,60282,Diesel,Manual,First,13.45 km/kg,1582 CC,108.45 bhp,7.0,,5.1
Mahindra Bolero ZLX,Kolkata,2009,46175,Diesel,Manual,Second,11.3 kmpl,2477 CC,130.2 bhp,5.0,,4.67
Nissan Terrano XL D Option,Hyderabad,2009,49336,Petrol,Manual,First,17.0 kmpl,998 CC,73.9 bhp,5.0,,2.28
Maruti Swift VXI BSIV,Delhi,2014,46434,Diesel,Manual,First,13.9 kmpl,1343 CC,163.5 bhp,4.0,8.63 Lakh,8.6
Maruti Vitara Brezza ZDi Plus,Hyderabad,2013,63966,Diesel,Automatic,First,23.8 kmpl,1995 CC,73 bhp,5.0,,3.34
BMW 3 Series 320d Luxury Line,Mumbai,2013,44377,Diesel,Manual,First,12.8 kmpl,1599 CC,,5.0,,1.66
Honda Mobilio S i DTEC,Hyderabad,2009,58882,Petrol,Manual,First,18.9 kmpl,1598 CC,108.45 bhp,5.0,,1.52
Maruti Wagon R LXI Minor,Hyderabad,2009,86744,Petrol,Manual,First,17.0 km/kg,1591 CC,82 bhp,7.0,,3.53
Hyundai Verna 1.6 SX VTVT (O),Delhi,2013,37875,Diesel,Manual,First,25.4 kmpl,2179 CC,171.5 bhp,5.0,15.29 Lakh,5.81
Hyundai Grand i10 AT Asta,Delhi,2011,55480,Diesel,Manual,First,12.0 kmpl,2179 CC,258 bhp,7.0,,18.78
Volkswagen Polo Petrol Highline 1.2L,Pune,2017,55774,CNG,Manual,First,20.77 kmpl,1498 CC,null bhp,5.0,,2.16
Hyundai Santa Fe 2WD AT,Coimbatore,2013,30244,Petrol,Manual,First,11.78 kmpl,1399 CC,241.38 bhp,5.0,8.61 Lakh,5.76
Land Rover Range Rover Vogue SE 4.4 SDV8,Mumbai,2009,16786,Petrol,Manual,First,24.0 kmpl,796 CC,91.1 bhp,5.0,,4.95
Volkswagen Polo Petrol Trendline 1.2L,Pune,2011,63327,Diesel,Automatic,Second,12.8 kmpl,1995 CC,157.7 bhp,8.0,,13.79
Volkswagen Polo Diesel Highline 1.2L,Jaipur,2012,65041,Diesel,Automatic,First,23.0 kmpl,1995 CC,181 bhp,8.0,,19.04
Honda City 1.5 S MT,Chennai,2013,30273,Petrol,Manual,First,18.9 kmpl,1197 CC,98.6 bhp,5.0,,1.22
Toyota Innova Crysta 2.4 VX MT,Pune,2014,51219,Diesel,Manual,First,11.5 kmpl,4395 CC,116.3 bhp,5.0,,1.93
Toyota Etios V,Ahmedabad,2009,28829,Diesel,Manual,First,16.09 kmpl,1373 CC,53.3 bhp,5.0,1.36 Cr,1.33
Volkswagen Vento 1.5 TDI Highline AT,Kolkata,2010,23624,Petrol,Manual,First,17.01 kmpl,1198 CC,174.33 bhp,5.0,,1.25
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2011,43048,Petrol,Manual,First,15.42 kmpl,1199 CC,163.5 bhp,5.0,,3.06
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2013,6266,Petrol,Manual,First,26.6 km/kg,1248 CC,70 bhp,5.0,,3.08
Toyota Prius 2009-2016 Z4,Bangalore,2017,21449,Diesel,Automatic,First,26.6 km/kg,2143 CC,258 bhp,8.0,,7.91
Maruti Alto Green LXi (CNG),Delhi,2005,61203,Petrol,Manual,First,22.32 kmpl,2494 CC,67 bhp,5.0,,1.82
BMW 3 Series 320d Sport,Kolkata,2009,42597,Petrol,Manual,First,18.7 kmpl,1399 CC,126.2 bhp,5.0,,1.9
Volkswagen Passat 2.0 PD DSG,Jaipur,2009,46378,Petrol,Manual,First,11.49 kmpl,1497 CC,null bhp,5.0,,1.84
Toyota Innova Crysta 2.4 ZX MT,Bangalore,2011,67843,Diesel,Manual,First,22.54 kmpl,1461 CC,105 bhp,5.0,,5.18
Skoda Superb Elegance 1.8 TSI AT,Hyderabad,2013,46980,Diesel,Manual,First,16.09 kmpl,1461 CC,58.16 bhp,5.0,,8.59
Maruti Alto 800 LXI,Coimbatore,2012,9358,Petrol,Automatic,First,20.46 kmpl,1197 CC,121.3 bhp,5.0,,2.64
Renault Duster 85PS Diesel RxL Optional,Kolkata,2013,105714,Petrol,Manual,First,20.77 kmpl,814 CC,106 bhp,5.0,,2.06
Chevrolet Enjoy Petrol LS 7 Seater,Kolkata,2011,22929,Petrol,Manual,First,12.8 kmpl,1341 CC,174.5 bhp,5.0,,3.08
Maruti SX4 Vxi BSIV,Pune,2009,59704,Diesel,Manual,First,26.59 kmpl,1798 CC,88.7 bhp,5.0,8.56 Lakh,4.46
Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,2016,37524,Diesel,Manual,First,25.47 kmpl,1991 CC,272 bhp,5.0,,5.5
BMW 5 Series 2003-2012 520d,Mumbai,2011,34759,Petrol,Manual,First,17.0 kmpl,796 CC,80 bhp,5.0,,2.28
Tata Zest Quadrajet 1.3 75PS XE,Jaipur,2011,44994,Diesel,Automatic,First,16.6 kmpl,1248 CC,65.3 bhp,7.0,,26.25
Maruti Swift ZDi,Mumbai,2014,63916,Diesel,Manual,First,16.55 kmpl,2148 CC,58.16 bhp,5.0,,7.09
Honda BRV i-VTEC V CVT,Jaipur,2010,45056,Diesel,Manual,First,15.6 kmpl,1248 CC,177.6 bhp,5.0,,4.38
Honda Civic 2010-2013 1.8 S MT,Kolkata,2010,55966,Diesel,Manual,First,21.1 kmpl,999 CC,null bhp,5.0,,2.47
Tata Zest Revotron 1.2T XE,Kochi,2014,44331,Diesel,Automatic,First,24.0 kmpl,2993 CC,208 bhp,7.0,,8.31
Tata Zest Revotron 1.2T XE,Hyderabad,2013,46928,Petrol,Manual,First,14.81 kmpl,1199 CC,67.1 bhp,5.0,,5.79
Maruti Ciaz ZXi Option,Mumbai,2014,55072,Petrol,Manual,First,12.8 kmpl,1086 CC,67.1 bhp,5.0,,4.36
Maruti Wagon R LXI LPG BSIV,Chennai,2013,55401,Diesel,Manual,First,22.7 kmpl,2148 CC,58.16 bhp,7.0,,22.48
Honda City 1.5 S MT,Pune,2011,36615,Diesel,Automatic,First,25.1 kmpl,2494 CC,126.2 bhp,5.0,,11.54
Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2010,32603,Diesel,Manual,First,26.6 km/kg,1197 CC,121.3 bhp,5.0,,4.05
Maruti Vitara Brezza ZDi Plus Dual Tone,Kolkata,2012,28668,Petrol,Manual,First,16.4 kmpl,2987 CC,171 bhp,5.0,,8.31
Ford Endeavour 2.2 Trend MT 4X4,Mumbai,2011,55994,CNG,Manual,Third,17.8 kmpl,1248 CC,271.72 bhp,5.0,,1.99
Hyundai i10 Magna 1.1,Bangalore,2007,61894,Petrol,Manual,First,19.01 kmpl,998 CC,100.6 bhp,5.0,,2.14
Tata Indica GLS BS IV,Mumbai,2011,58025,CNG,Manual,First,22.48 kmpl,2494 CC,103.5 bhp,8.0,,1.96
Honda City 1.5 S MT,Chennai,2013,22452,Petrol,Manual,First,26.6 km/kg,1995 CC,170 bhp,5.0,,2.14
Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,2011,34738,Petrol,Manual,First,16.1 kmpl,1799 CC,118 bhp,5.0,,1.2
Renault Duster 85PS Diesel RxL,Kolkata,2010,55041,Diesel,Manual,First,20.92 kmpl,998 CC,107.2 bhp,8.0,,44.52
Audi A4 New 2.0 TDI Multitronic,Kolkata,2015,16205,Petrol,Manual,First,17.0 kmpl,2494 CC,117.3 bhp,5.0,,1.37
Ford Fiesta Classic 1.4 Duratorq LXI,Mumbai,2015,45950,CNG,Manual,First,22.7 kmpl,1599 CC,70 bhp,5.0,,3.04
Volkswagen Vento Petrol Highline,Hyderabad,2014,23462,CNG,Manual,First,18.7 kmpl,1498 CC,null bhp,5.0,,1.75
Hyundai Santro Xing GLS LPG,Coimbatore,2013,52827,Petrol,Manual,First,26.1 kmpl,2987 CC,83.8 bhp,5.0,4.9 Lakh,4.39
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2016,46495,Diesel,Manual,First,16.96 kmpl,1495 CC,98.96 bhp,5.0,,2.34
Maruti Alto K10 LXI,Kolkata,2010,65024,Petrol,Manual,First,11.0 kmpl,1197 CC,null bhp,5.0,,7.99
Hyundai Santro D Lite,Kolkata,2014,27408,Diesel,Manual,First,16.8 kmpl,1798 CC,110 bhp,5.0,,10.8
Audi A4 2.0 TDI 177 Bhp Premium Plus,Pune,2010,50944,Diesel,Manual,First,13.8 kmpl,1248 CC,103.2 bhp,5.0,,5.81
Renault Duster 85PS Diesel RxL Option,Hyderabad,2011,42930,Diesel,Manual,First,23.5 kmpl,2143 CC,40.3 bhp,7.0,,3.34
BMW 5 Series 2013-2017 520d Luxury Line,Hyderabad,2013,51163,Diesel,Manual,First,26.6 km/kg,995 CC,187.74 bhp,7.0,,13.54
Chevrolet Beat Diesel LS,Kochi,2012,22803,Diesel,Manual,First,21.8 kmpl,2993 CC,75 bhp,7.0,,39.37
Honda Brio S Option MT,Hyderabad,2016,21763,Petrol,Manual,First,21.1 kmpl,2993 CC,88.7 bhp,5.0,10.04 Lakh,7.26
BMW 7 Series 730Ld,Coimbatore,2011,77318,CNG,Manual,Second,14.74 kmpl,1298 CC,103.2 bhp,5.0,,2.12
Honda City i VTEC CVT VX,Jaipur,2012,57234,Diesel,Manual,First,16.47 kmpl,2179 CC,201.1 bhp,8.0,,10.7
Honda Amaze S i-Dtech,Jaipur,2012,35843,Diesel,Manual,First,13.8 kmpl,1498 CC,147.51 bhp,5.0,,5.18
Tata Hexa XTA,Mumbai,2010,51790,Petrol,Manual,First,21.66 kmpl,1373 CC,74 bhp,5.0,,2.78
Volkswagen Polo Petrol Comfortline 1.2L,Pune,2010,35395,Diesel,Automatic,First,20.14 kmpl,2179 CC,174.5 bhp,7.0,,16.25
Audi Q5 2008-2012 2.0 TFSI Quattro,Kolkata,2009,101348,Petrol,Manual,First,17.7 kmpl,1198 CC,126.32 bhp,5.0,,9.26
Ford Ecosport 1.5 DV5 MT Titanium Optional,Kolkata,2012,33430,Diesel,Automatic,First,26.6 km/kg,1582 CC,170 bhp,5.0,,4.08
Volkswagen Polo Petrol Trendline 1.2L,Kolkata,2015,171,Petrol,Manual,First,18.88 kmpl,2987 CC,187.7 bhp,5.0,,6.27
Tata Nano Twist XT,Kolkata,2014,46895,CNG,Manual,First,15.68 kmpl,1399 CC,74 bhp,7.0,,2.06
Ford Endeavour 3.2 Trend AT 4X4,Chennai,2011,13314,CNG,Manual,First,14.33 kmpl,1799 CC,108.45 bhp,5.0,,5.61
Hyundai Santro Xing XL,Kochi,2014,27560,Diesel,Manual,First,25.2 kmpl,1199 CC,87.2 bhp,7.0,,18.13
Maruti Wagon R LXI Minor,Mumbai,2016,36700,Diesel,Manual,First,15.7 kmpl,1248 CC,121.3 bhp,5.0,,1.81
Honda Amaze SX i-VTEC,Jaipur,2012,75743,Diesel,Manual,First,16.55 kmpl,1498 CC,58.16 bhp,8.0,,2.56
Volkswagen Vento Petrol Highline AT,Jaipur,2010,38227,Petrol,Manual,First,13.1 kmpl,1968 CC,116.3 bhp,5.0,,1.95
Volkswagen Ameo 1.2 MPI Highline,Jaipur,2014,25467,Diesel,Manual,First,17.4 kmpl,1364 CC,83.8 bhp,5.0,,1.55
Mahindra Scorpio SLE BSIV,Chennai,2012,34914,Petrol,Manual,First,11.05 kmpl,1999 CC,98.6 bhp,5.0,1.36 Cr,4.61
Jaguar XF 3.0 Litre S Premium Luxury,Coimbatore,2013,44334,Diesel,Automatic,First,,2393 CC,152 bhp,7.0,,14.63
Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,Kolkata,2016,63719,Diesel,Manual,First,9.9 kmpl,1199 CC,70 bhp,5.0,,1.73
Maruti Swift Dzire 1.2 Vxi BSIV,Pune,2014,50273,Diesel,Automatic,First,18.49 kmpl,1196 CC,120 bhp,5.0,,9.55
Toyota Corolla Altis 1.8 G,Hyderabad,2010,36913,Petrol,Manual,First,10.9 kmpl,998 CC,64 bhp,5.0,,1.8
Maruti Wagon R VXI 1.2,Pune,2011,43676,Diesel,Automatic,First,17.0 kmpl,2987 CC,170 bhp,5.0,,9.7
Renault Pulse RxL,Kolkata,2011,21382,Diesel,Manual,First,14.75 kmpl,1198 CC,154 bhp,5.0,,1.42
Toyota Corolla Altis 1.4 DG,Mumbai,2009,83328,Petrol,Manual,First,17.8 kmpl,998 CC,null bhp,5.0,,2.57
Skoda Rapid 1.5 TDI Ambition,Hyderabad,2012,46047,Petrol,Manual,First,17.01 kmpl,1598 CC,99 bhp,5.0,6.51 Lakh,5.13
Hyundai i10 Magna,Bangalore,2014,35134,Diesel,Manual,First,15.29 kmpl,1373 CC,58.16 bhp,5.0,,7.42
Honda Brio VX AT,Mumbai,2017,30423,Diesel,Manual,Second,11.25 kmpl,1248 CC,147.8 bhp,7.0,6.29 Lakh,2.9
Toyota Camry Hybrid 2.5,Chennai,2009,54016,CNG,Manual,Fourth & Above,25.4 kmpl,1086 CC,70 bhp,5.0,,1.71
Honda City V AT,Kolkata,2009,20939,Petrol,Manual,First,18.9 kmpl,1198 CC,89.84 bhp,5.0,,0.81
